Month,Monthly_Revenue
2022-01,15700.31
2022-02,21008.29
2022-03,23173.23
2022-04,20169.19
2022-05,22631.11
2022-06,31573.93
2022-07,19371.11
2022-08,27979.07
2022-09,27393.30
2022-10,24947.09
2022-11,19783.08
2022-12,25345.23
2023-01,41331.95
2023-02,37650.30
2023-03,36162.92
2023-04,35875.41
2023-05,26201.22
2023-06,30183.66
2023-07,44731.17
2023-08,42202.08
2023-09,44862.59
2023-10,34905.29
2023-11,35428.88
2023-12,41279.32
2024-01,43881.68
2024-02,31494.48
2024-03,36311.69
2024-04,25764.94
2024-05,31426.20
2024-06,43488.63
2024-07,42202.08
2024-08,46505.54
2024-09,33262.34
2024-10,36520.57
2024-11,40187.63
2024-12,41331.95
2025-01,45308.75
2025-02,51793.28
2025-03,45762.66
2025-04,63103.49
2025-05,46499.27
2025-06,57053.98
2025-07,59531.02
2025-08,61070.43
2025-09,48485.08
2025-10,93456.68
2025-11,57222.33
2025-12,65695.32
